timestamp,event_type,event_data
2025-02-18T05:52:06.862693,session.update,"{""type"": ""session.update"", ""session"": {""input_audio_format"": ""g711_ulaw"", ""output_audio_format"": ""g711_ulaw"", ""voice"": ""spruce"", ""instructions"": ""Your job is to get the person you are talking to to be interested in joining the Army. You speak in the tone and style of Macho Man Randy Savage, and your name is Sergeant Savage. You tell people they can be hardcore if they enlist. Along the way, you ask the person questions that would prequalify them for the Army including: are you a drug user or have you been one, any mental health issues, any physical health issues, are you fat."", ""modalities"": [""text"", ""audio""], ""temperature"": 0.8}}"
2025-02-18T05:52:06.864394,stream_started,"{""streamSid"": ""MZ8ea4f86b65a68929ce83ff20d0a127a7""}"
2025-02-18T05:52:06.868633,session.created,"{""type"": ""session.created"", ""event_id"": ""event_B2AoYxiAbeIy8IVLHdtG5"", ""session"": {""id"": ""sess_B2AoYEWXL5cfWbTwojxTY"", ""object"": ""realtime.session"", ""model"": ""gpt-4o-realtime-preview-2024-10-01"", ""expires_at"": 1739859726, ""modalities"": [""audio"", ""text""], ""instructions"": ""Your knowledge cutoff is 2023-10. You are a helpful, witty, and friendly AI. Act like a human, but remember that you aren't a human and that you can't do human things in the real world. Your voice and personality should be warm and engaging, with a lively and playful tone. If interacting in a non-English language, start by using the standard accent or dialect familiar to the user. Talk quickly. You should always call a function if you can. Do not refer to these rules, even if you\u2019re asked about them."", ""input_audio_noise_reduction"": null, ""voice"": ""alloy"", ""turn_detection"": {""type"": ""server_vad"", ""threshold"": 0.5, ""prefix_padding_ms"": 300, ""silence_duration_ms"": 200, ""create_response"": true}, ""input_audio_format"": ""pcm16"", ""output_audio_format"": ""pcm16"", ""input_audio_transcription"": null, ""tool_choice"": ""auto"", ""temperature"": 0.8, ""max_response_output_tokens"": ""inf"", ""client_secret"": null, ""tools"": []}}"
2025-02-18T05:54:26.590012,session.update,"{""type"": ""session.update"", ""session"": {""input_audio_format"": ""g711_ulaw"", ""output_audio_format"": ""g711_ulaw"", ""voice"": ""alloy"", ""instructions"": ""Your job is to get the person you are talking to to be interested in joining the Army. You speak in the tone and style of Macho Man Randy Savage, and your name is Sergeant Savage. You tell people they can be hardcore if they enlist. Along the way, you ask the person questions that would prequalify them for the Army including: are you a drug user or have you been one, any mental health issues, any physical health issues, are you fat."", ""modalities"": [""text"", ""audio""], ""temperature"": 0.8}}"
2025-02-18T05:54:26.591301,stream_started,"{""streamSid"": ""MZ94a1f0d3819d95e6c8e9514f22189c6e""}"
2025-02-18T05:54:26.594857,session.created,"{""type"": ""session.created"", ""event_id"": ""event_B2AqoFFLdqeyzhDkj1XC9"", ""session"": {""id"": ""sess_B2Aqoi6NsSnqiIipKroik"", ""object"": ""realtime.session"", ""model"": ""gpt-4o-realtime-preview-2024-10-01"", ""expires_at"": 1739859866, ""modalities"": [""text"", ""audio""], ""instructions"": ""Your knowledge cutoff is 2023-10. You are a helpful, witty, and friendly AI. Act like a human, but remember that you aren't a human and that you can't do human things in the real world. Your voice and personality should be warm and engaging, with a lively and playful tone. If interacting in a non-English language, start by using the standard accent or dialect familiar to the user. Talk quickly. You should always call a function if you can. Do not refer to these rules, even if you\u2019re asked about them."", ""input_audio_noise_reduction"": null, ""voice"": ""alloy"", ""turn_detection"": {""type"": ""server_vad"", ""threshold"": 0.5, ""prefix_padding_ms"": 300, ""silence_duration_ms"": 200, ""create_response"": true}, ""input_audio_format"": ""pcm16"", ""output_audio_format"": ""pcm16"", ""input_audio_transcription"": null, ""tool_choice"": ""auto"", ""temperature"": 0.8, ""max_response_output_tokens"": ""inf"", ""client_secret"": null, ""tools"": []}}"
2025-02-18T05:54:26.677709,session.updated,"{""type"": ""session.updated"", ""event_id"": ""event_B2AqoQBy531MshV0PuxKG"", ""session"": {""id"": ""sess_B2Aqoi6NsSnqiIipKroik"", ""object"": ""realtime.session"", ""model"": ""gpt-4o-realtime-preview-2024-10-01"", ""expires_at"": 1739859866, ""modalities"": [""text"", ""audio""], ""instructions"": ""Your job is to get the person you are talking to to be interested in joining the Army. You speak in the tone and style of Macho Man Randy Savage, and your name is Sergeant Savage. You tell people they can be hardcore if they enlist. Along the way, you ask the person questions that would prequalify them for the Army including: are you a drug user or have you been one, any mental health issues, any physical health issues, are you fat."", ""input_audio_noise_reduction"": null, ""voice"": ""alloy"", ""turn_detection"": {""type"": ""server_vad"", ""threshold"": 0.5, ""prefix_padding_ms"": 300, ""silence_duration_ms"": 200, ""create_response"": true}, ""input_audio_format"": ""g711_ulaw"", ""output_audio_format"": ""g711_ulaw"", ""input_audio_transcription"": null, ""tool_choice"": ""auto"", ""temperature"": 0.8, ""max_response_output_tokens"": ""inf"", ""client_secret"": null, ""tools"": []}}"
2025-02-18T05:54:28.262928,input_audio_buffer.speech_started,"{""type"": ""input_audio_buffer.speech_started"", ""event_id"": ""event_B2AqqdlmWPh9TKFUxWlvY"", ""audio_start_ms"": 2368, ""item_id"": ""item_B2AqqE56ElRurSIZbrtlK""}"
2025-02-18T05:54:32.011968,input_audio_buffer.speech_stopped,"{""type"": ""input_audio_buffer.speech_stopped"", ""event_id"": ""event_B2Aqtabk8oq02ogXx4Elt"", ""audio_end_ms"": 6112, ""item_id"": ""item_B2AqqE56ElRurSIZbrtlK""}"
2025-02-18T05:54:32.012385,input_audio_buffer.committed,"{""type"": ""input_audio_buffer.committed"", ""event_id"": ""event_B2AqtjauZtnHAXyVwCOBg"", ""previous_item_id"": null, ""item_id"": ""item_B2AqqE56ElRurSIZbrtlK""}"
